n,partition,rows,cols,time
4,row,1000,500,0.001530
4,row,1000,1000,0.002598
4,row,1000,1500,0.003694
4,row,1000,2000,0.005324
4,row,1000,2500,0.007534
4,row,1000,3000,0.008952
4,row,1000,3500,0.010467
4,row,1000,4000,0.012225
4,row,1000,4500,0.013081
4,row,1000,5000,0.013784
4,row,2000,500,0.002592
4,row,2000,1000,0.005764
4,row,2000,1500,0.009529
4,row,2000,2000,0.015212
4,row,2000,2500,0.015295
4,row,2000,3000,0.018840
4,row,2000,3500,0.020641
4,row,2000,4000,0.024728
4,row,2000,4500,0.025335
4,row,2000,5000,0.028931
4,row,3000,500,0.003887
4,row,3000,1000,0.007612
4,row,3000,1500,0.010921
4,row,3000,2000,0.015519
4,row,3000,2500,0.018923
4,row,3000,3000,0.024124
4,row,3000,3500,0.028623
4,row,3000,4000,0.032672
4,row,3000,4500,0.037200
4,row,3000,5000,0.041797
4,row,4000,500,0.005138
4,row,4000,1000,0.009642
4,row,4000,1500,0.015209
4,row,4000,2000,0.019428
4,row,4000,2500,0.025067
4,row,4000,3000,0.031854
4,row,4000,3500,0.036355
4,row,4000,4000,0.042673
4,row,4000,4500,0.048246
4,row,4000,5000,0.054344
4,row,5000,500,0.006831
4,row,5000,1000,0.011942
4,row,5000,1500,0.018541
4,row,5000,2000,0.032551
4,row,5000,2500,0.031114
4,row,5000,3000,0.036530
4,row,5000,3500,0.047270
4,row,5000,4000,0.050698
4,row,5000,4500,0.058625
4,row,5000,5000,0.068966
4,row,6000,500,0.008146
4,row,6000,1000,0.014674
4,row,6000,1500,0.022401
4,row,6000,2000,0.030183
4,row,6000,2500,0.038493
4,row,6000,3000,0.046874
4,row,6000,3500,0.053318
4,row,6000,4000,0.064114
4,row,6000,4500,0.072614
4,row,6000,5000,0.085610
4,row,7000,500,0.010320
4,row,7000,1000,0.018915
4,row,7000,1500,0.026892
4,row,7000,2000,0.037400
4,row,7000,2500,0.044882
4,row,7000,3000,0.053671
4,row,7000,3500,0.062195
4,row,7000,4000,0.070071
4,row,7000,4500,0.118950
4,row,7000,5000,0.104961
4,row,8000,500,0.011578
4,row,8000,1000,0.021494
4,row,8000,1500,0.032675
4,row,8000,2000,0.041143
4,row,8000,2500,0.053853
4,row,8000,3000,0.064277
4,row,8000,3500,0.068351
4,row,8000,4000,0.079592
4,row,8000,4500,0.092131
4,row,8000,5000,0.103831
4,row,9000,500,0.011627
4,row,9000,1000,0.022152
4,row,9000,1500,0.033123
4,row,9000,2000,0.043804
4,row,9000,2500,0.055971
4,row,9000,3000,0.068530
4,row,9000,3500,0.081755
4,row,9000,4000,0.090306
4,row,9000,4500,0.101433
4,row,9000,5000,0.122563
4,row,10000,500,0.016834
4,row,10000,1000,0.023983
4,row,10000,1500,0.036917
4,row,10000,2000,0.077532
4,row,10000,2500,0.065945
4,row,10000,3000,0.070502
4,row,10000,3500,0.084889
4,row,10000,4000,0.099387
4,row,10000,4500,0.107847
4,row,10000,5000,0.143016
4,column,500,1000,0.000272
4,column,500,2000,0.000571
4,column,500,3000,0.001559
4,column,500,4000,0.002172
4,column,500,5000,0.001498
4,column,500,6000,0.002104
4,column,500,7000,0.002424
4,column,500,8000,0.002178
4,column,500,9000,0.003088
4,column,500,10000,0.003081
4,column,1000,1000,0.000663
4,column,1000,2000,0.001222
4,column,1000,3000,0.003088
4,column,1000,4000,0.002674
4,column,1000,5000,0.002798
4,column,1000,6000,0.003418
4,column,1000,7000,0.004402
4,column,1000,8000,0.005117
4,column,1000,9000,0.005599
4,column,1000,10000,0.005529
4,column,1500,1000,0.000976
4,column,1500,2000,0.002272
4,column,1500,3000,0.002899
4,column,1500,4000,0.003886
4,column,1500,5000,0.004939
4,column,1500,6000,0.005212
4,column,1500,7000,0.006179
4,column,1500,8000,0.008116
4,column,1500,9000,0.008162
4,column,1500,10000,0.009444
4,column,2000,1000,0.001548
4,column,2000,2000,0.002498
4,column,2000,3000,0.003690
4,column,2000,4000,0.004309
4,column,2000,5000,0.005451
4,column,2000,6000,0.007113
4,column,2000,7000,0.007599
4,column,2000,8000,0.009512
4,column,2000,9000,0.011763
4,column,2000,10000,0.010621
4,column,2500,1000,0.002212
4,column,2500,2000,0.003078
4,column,2500,3000,0.004689
4,column,2500,4000,0.006301
4,column,2500,5000,0.007275
4,column,2500,6000,0.008327
4,column,2500,7000,0.010453
4,column,2500,8000,0.011898
4,column,2500,9000,0.011898
4,column,2500,10000,0.013412
4,column,3000,1000,0.001979
4,column,3000,2000,0.004123
4,column,3000,3000,0.005630
4,column,3000,4000,0.006535
4,column,3000,5000,0.009240
4,column,3000,6000,0.010545
4,column,3000,7000,0.013080
4,column,3000,8000,0.014167
4,column,3000,9000,0.016035
4,column,3000,10000,0.018561
4,column,3500,1000,0.002669
4,column,3500,2000,0.004181
4,column,3500,3000,0.006321
4,column,3500,4000,0.007966
4,column,3500,5000,0.009620
4,column,3500,6000,0.011605
4,column,3500,7000,0.014783
4,column,3500,8000,0.016708
4,column,3500,9000,0.019381
4,column,3500,10000,0.022299
4,column,4000,1000,0.003082
4,column,4000,2000,0.005391
4,column,4000,3000,0.008260
4,column,4000,4000,0.010841
4,column,4000,5000,0.011283
4,column,4000,6000,0.016037
4,column,4000,7000,0.015812
4,column,4000,8000,0.019298
4,column,4000,9000,0.022488
4,column,4000,10000,0.024126
4,column,4500,1000,0.003574
4,column,4500,2000,0.006151
4,column,4500,3000,0.008598
4,column,4500,4000,0.010484
4,column,4500,5000,0.014305
4,column,4500,6000,0.016099
4,column,4500,7000,0.019026
4,column,4500,8000,0.021691
4,column,4500,9000,0.027007
4,column,4500,10000,0.023803
4,column,5000,1000,0.003228
4,column,5000,2000,0.006704
4,column,5000,3000,0.009664
4,column,5000,4000,0.013562
4,column,5000,5000,0.022471
4,column,5000,6000,0.024394
4,column,5000,7000,0.039866
4,column,5000,8000,0.026441
4,column,5000,9000,0.032051
4,column,5000,10000,0.045563
4,block,1000,500,0.000146
4,block,1000,1000,0.000335
4,block,1000,1500,0.000465
4,block,1000,2000,0.000292
4,block,1000,2500,0.000454
4,block,1000,3000,0.000527
4,block,1000,3500,0.000879
4,block,1000,4000,0.001563
4,block,1000,4500,0.000691
4,block,1000,5000,0.000732
4,block,2000,500,0.000220
4,block,2000,1000,0.000343
4,block,2000,1500,0.000539
4,block,2000,2000,0.000846
4,block,2000,2500,0.001548
4,block,2000,3000,0.001157
4,block,2000,3500,0.001113
4,block,2000,4000,0.001116
4,block,2000,4500,0.001141
4,block,2000,5000,0.001661
4,block,3000,500,0.000335
4,block,3000,1000,0.000675
4,block,3000,1500,0.001146
4,block,3000,2000,0.001816
4,block,3000,2500,0.001061
4,block,3000,3000,0.001556
4,block,3000,3500,0.001852
4,block,3000,4000,0.001855
4,block,3000,4500,0.002063
4,block,3000,5000,0.002237
4,block,4000,500,0.000570
4,block,4000,1000,0.000847
4,block,4000,1500,0.001027
4,block,4000,2000,0.001831
4,block,4000,2500,0.002208
4,block,4000,3000,0.002572
4,block,4000,3500,0.002500
4,block,4000,4000,0.002951
4,block,4000,4500,0.005623
4,block,4000,5000,0.003049
4,block,5000,500,0.000807
4,block,5000,1000,0.001337
4,block,5000,1500,0.001303
4,block,5000,2000,0.002762
4,block,5000,2500,0.001945
4,block,5000,3000,0.002344
4,block,5000,3500,0.002612
4,block,5000,4000,0.002743
4,block,5000,4500,0.005879
4,block,5000,5000,0.004499
4,block,6000,500,0.000646
4,block,6000,1000,0.000954
4,block,6000,1500,0.001332
4,block,6000,2000,0.004144
4,block,6000,2500,0.005334
4,block,6000,3000,0.004723
4,block,6000,3500,0.005490
4,block,6000,4000,0.003826
4,block,6000,4500,0.005720
4,block,6000,5000,0.007262
4,block,7000,500,0.000723
4,block,7000,1000,0.001385
4,block,7000,1500,0.001768
4,block,7000,2000,0.003696
4,block,7000,2500,0.002829
4,block,7000,3000,0.003969
4,block,7000,3500,0.003854
4,block,7000,4000,0.004861
4,block,7000,4500,0.006173
4,block,7000,5000,0.005321
4,block,8000,500,0.000760
4,block,8000,1000,0.001586
4,block,8000,1500,0.002313
4,block,8000,2000,0.002936
4,block,8000,2500,0.003406
4,block,8000,3000,0.004315
4,block,8000,3500,0.004259
4,block,8000,4000,0.004973
4,block,8000,4500,0.005613
4,block,8000,5000,0.006122
4,block,9000,500,0.001024
4,block,9000,1000,0.001673
4,block,9000,1500,0.006631
4,block,9000,2000,0.003010
4,block,9000,2500,0.003523
4,block,9000,3000,0.009619
4,block,9000,3500,0.005062
4,block,9000,4000,0.005769
4,block,9000,4500,0.006757
4,block,9000,5000,0.007690
4,block,10000,500,0.001231
4,block,10000,1000,0.002304
4,block,10000,1500,0.002484
4,block,10000,2000,0.003273
4,block,10000,2500,0.004088
4,block,10000,3000,0.004612
4,block,10000,3500,0.005585
4,block,10000,4000,0.011343
4,block,10000,4500,0.007160
4,block,10000,5000,0.007788
